Stage,Match,Date,MVP,Map Result
Lower Bracket Quarterfinals,Geekay Esports (3) vs Spacestation (1),"June 22, 2025 - 04:20 KST",Admiral,"Control: 2 vs 0 (Oasis)
Escort: 2 vs 1 (Dorado)
Flashpoint: 2 vs 3 (New Junk City)
Push: 66.43m vs 64.85m (Colosseo)"
Lower Bracket Quarterfinals,NTMR (1) vs Team Liquid (3),"June 22, 2025 - 05:55 KST",TR33,"Control: 0 vs 2 (Oasis)
Escort: 3 vs 2 (Circuit Royal)
Hybrid: 1 vs 3 (Hollywood)
Flashpoint: 0 vs 3 (New Junk City)"
Lower Bracket Quarterfinals,Geekay Esports (1) vs Team Liquid (3),"June 29, 2025 - 06:50 KST",Rupal,"Control: 0 vs 2 (Oasis)
Escort: 1 vs 2 (Circuit Royal)
Hybrid: 3 vs 2 (King's Row)
Push: 91.95m vs 123.89m (Runasapi)"
Lower Bracket Quarterfinals,Spacestation (3) vs Sakura Esports (0),"June 23, 2025 - 04:55 KST",sugarfree,"Control: 2 vs 0 (Oasis)
Hybrid: 2 vs 1 (King's Row)
Push: 144.86m vs 8.72m (Runasapi)"
Lower Bracket Quarterfinals,NTMR (3) vs Extinction (2),"June 23, 2025 - 05:55 KST",Kronik,"Control: 0 vs 2 (Ilios)
Escort: 3 vs 0 (Circuit Royal)
Push: 104.5m vs 104.51m (Runasapi)
Hybrid: 3 vs 1 (Hollywood)
Flashpoint: 3 vs 1 (New Junk City)"
Lower Bracket Quarterfinals,Spacestation (0) vs NTMR (3),"June 29, 2025 - 05:30 KST",Kronik,"Control: 1 vs 2 (Busan)
Hybrid: 1 vs 2 (Hollywood)
Push: 60.07m vs 81.2m (Colosseo)"
Lower Bracket Quarterfinals,Geekay Esports (3) vs NTMR (0),"June 30, 2025 - 06:50 KST",Lethal,"Control: 2 vs 1 (Oasis)
Escort: 3 vs 2 (Circuit Royal)
Flashpoint: 3 vs 0 (New Junk City)"
Lower Bracket Quarterfinals,Team Liquid (3) vs Geekay Esports (4),"June 30, 2025 - 08:20 KST",Lethal,"Control: 2 vs 0 (Ilios)
Hybrid: 2 vs 3 (King's Row)
Escort: 2 vs 3 (Circuit Royal)
Push: 105.67m vs 132.24m (Runasapi)
Flashpoint: 3 vs 1 (Suravasa)
Flashpoint: 3 vs 0 (New Junk City)
Control: 0 vs 2 (Oasis)"
Unknown Group,SSG (SSG) vs TL (1),"May 11, 2025 - 06:00 KST",zeruhh,"Control: 2 vs 1 (Ilios)
Escort: 1 vs 2 (Circuit Royal)
Hybrid: 1 vs 2 (Hollywood)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,SAK (SAK) vs NTMR (0),"May 11, 2025 - 07:35 KST",Kronik,"Control: 0 vs 2 (Busan)
Hybrid: 3 vs 4 (King's Row)
Escort: 2 vs 3 (Circuit Royal)"
Unknown Group,EXN (EXN) vs DHIL (3),"May 11, 2025 - 09:00 KST",Hitori,"Control: 2 vs 0 (Ilios)
Hybrid: 3 vs 2 (King's Row)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,GK (GK) vs SN (3),"May 12, 2025 - 07:00 KST",Lethal,"Control: 2 vs 0 (Ilios)
Escort: 1 vs 0 (Circuit Royal)
Push: 131m vs 97.82m (Runasapi)"
Unknown Group,SSG (SSG) vs NTMR (1),"May 12, 2025 - 08:30 KST",Rokit,"Control: 2 vs 0 (Ilios)
Escort: 1 vs 3 (Circuit Royal)
Flashpoint: 2 vs 3 (Suravasa)
Push: 53.27m vs 144.16m (Runasapi)"
Unknown Group,SAK (SAK) vs DHIL (3),"May 18, 2025 - 05:35 KST",peace,"Control: 2 vs 0 (Ilios)
Escort: 2 vs 1 (Watchpoint: Gibraltar)
Push: 136.18m vs 54.2m (Runasapi)"
Unknown Group,EXN (EXN) vs TL (0),"May 18, 2025 - 06:35 KST",Infekted,"Control: 0 vs 2 (Ilios)
Push: 8.12m vs 144.86m (Runasapi)
Flashpoint: 1 vs 3 (New Junk City)"
Unknown Group,SN (SN) vs NTMR (1),"May 19, 2025 - 05:00 KST",Rokit,"Control: 0 vs 2 (Busan)
Escort: 1 vs 2 (Watchpoint: Gibraltar)
Hybrid: 3 vs 2 (Midtown)
Push: 1.24m vs 144.86m (Runasapi)"
Unknown Group,SSG (SSG) vs DHIL (3),"May 19, 2025 - 06:30 KST",seeker,"Control: 2 vs 0 (Ilios)
Hybrid: 1 vs 0 (King's Row)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,GK (GK) vs SAK (3),"May 19, 2025 - 07:20 KST",Lethal,"Control: 2 vs 0 (Ilios)
Escort: 5 vs 4 (Circuit Royal)
Hybrid: 1 vs 0 (King's Row)"
Unknown Group,GK (GK) vs SSG (3),"May 25, 2025 - 06:15 KST",WMaimone,"Control: 2 vs 1 (Oasis)
Flashpoint: 3 vs 1 (Suravasa)
Hybrid: 3 vs 2 (King's Row)"
Unknown Group,TL (TL) vs NTMR (0),"May 25, 2025 - 07:25 KST",Kronik,"Control: 1 vs 2 (Ilios)
Flashpoint: 0 vs 3 (New Junk City)
Push: 6.51m vs 144.86m (Runasapi)"
Unknown Group,DHIL (DHIL) vs SN (1),"May 26, 2025 - 05:15 KST",Ryan,"Control: 0 vs 2 (Oasis)
Escort: 3 vs 1 (Circuit Royal)
Push: 45.68m vs 144.86m (Runasapi)
Flashpoint: 2 vs 3 (New Junk City)"
Unknown Group,EXN (EXN) vs SAK (0),"May 26, 2025 - 06:45 KST",CLEAR,"Control: 1 vs 2 (Oasis)
Flashpoint: 0 vs 3 (Suravasa)
Push: 112.71m vs 112.72m (Runasapi)"
Unknown Group,SAK (SAK) vs SN (3),"June 1, 2025 - 05:00 KST",peace,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 1 (New Junk City)
Push: 104.52m vs 106.66m (Runasapi)
Hybrid: 3 vs 2 (King's Row)"
Unknown Group,GK (GK) vs TL (3),"June 1, 2025 - 06:30 KST",UltraViolet,"Control: 1 vs 2 (Ilios)
Escort: 1 vs 0 (Circuit Royal)
Push: 81.45m vs 85.29m (Runasapi)
Hybrid: 3 vs 2 (King's Row)
Flashpoint: 3 vs 2 (New Junk City)"
Unknown Group,EXN (EXN) vs NTMR (2),"June 1, 2025 - 07:55 KST",Lukemino,"Control: 0 vs 2 (Busan)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 4 vs 3 (Watchpoint: Gibraltar)
Push: 93.95m vs 21.93m (Runasapi)
Hybrid: 2 vs 3 (King's Row)"
Unknown Group,SSG (SSG) vs SN (3),"June 2, 2025 - 04:20 KST",sugarfree,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 2 (Circuit Royal)
Flashpoint: 3 vs 0 (New Junk City)"
Unknown Group,GK (GK) vs DHIL (3),"June 2, 2025 - 05:20 KST",cuFFa,"Control: 2 vs 0 (Ilios)
Escort: 1 vs 0 (Circuit Royal)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,DHIL (DHIL) vs NTMR (0),"June 8, 2025 - 07:00 KST",Kronik,"Control: 0 vs 2 (Busan)
Escort: 1 vs 3 (Circuit Royal)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,EXN (EXN) vs GK (0),"June 8, 2025 - 08:15 KST",Lethal,"Control: 0 vs 2 (Oasis)
Flashpoint: 1 vs 3 (Suravasa)
Push: 74.28m vs 116.75m (Runasapi)"
Unknown Group,SAK (SAK) vs SSG (1),"June 9, 2025 - 04:30 KST",seeker,"Control: 2 vs 1 (Ilios)
Escort: 0 vs 1 (Dorado)
Hybrid: 1 vs 2 (King's Row)
Push: 71.05m vs 144.86m (Runasapi)"
Unknown Group,SN (SN) vs TL (0),"June 9, 2025 - 06:00 KST",Infekted,"Control: 0 vs 2 (Oasis)
Push: 30.75m vs 144.86m (Runasapi)
Escort: 2 vs 3 (Circuit Royal)"
Unknown Group,GK (GK) vs NTMR (3),"June 15, 2025 - 04:45 KST",cuFFa,"Control: 2 vs 1 (Oasis)
Escort: 2 vs 3 (Circuit Royal)
Hybrid: 3 vs 0 (King's Row)
Push: 94.75m vs 99.44m (Runasapi)
Flashpoint: 3 vs 2 (New Junk City)"
Unknown Group,SAK (SAK) vs TL (0),"June 15, 2025 - 06:30 KST",TR33,"Control: 1 vs 2 (Oasis)
Escort: 0 vs 1 (Circuit Royal)
Hybrid: 2 vs 3 (King's Row)"
Unknown Group,EXN (EXN) vs SN (3),"June 15, 2025 - 07:45 KST",NenWhy,"Control: 2 vs 0 (Oasis)
Push: 119.72m vs 54.15m (Runasapi)
Escort: 2 vs 1 (Circuit Royal)"
Unknown Group,DHIL (DHIL) vs TL (0),"June 16, 2025 - 06:30 KST",Infekted,"Control: 0 vs 2 (Oasis)
Escort: 1 vs 3 (Circuit Royal)
Hybrid: 1 vs 2 (King's Row)"
Unknown Group,EXN (EXN) vs SSG (1),"June 16, 2025 - 07:40 KST",Kellan,"Control: 0 vs 2 (Ilios)
Escort: 0 vs 1 (Circuit Royal)
Push: 144.86m vs 30.92m (Runasapi)
Flashpoint: 1 vs 3 (New Junk City)"
